slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
oklahoma-city-ok,1445122,5.5,70499,Education & health care,22.8,Retail trade,12.0,Professional & management,11.0,"Arts, food & hospitality",9.1,Public administration,7.3
raleigh-nc,1449594,11.3,96066,Education & health care,20.1,Professional & management,19.9,Retail trade,9.8,Manufacturing,9.2,"Finance, insurance & real estate",7.9
memphis-tn,1341606,-0.3,64743,Education & health care,21.9,Transportation & utilities,13.7,Retail trade,10.6,Manufacturing,10.0,Professional & management,10.0
richmond-va,1327321,3.6,84405,Education & health care,23.1,Professional & management,12.7,Retail trade,10.7,"Finance, insurance & real estate",9.4,"Arts, food & hospitality",7.6
new-orleans-la,988763,-21.8,62271,Education & health care,25.3,Professional & management,12.1,"Arts, food & hospitality",11.8,Retail trade,9.9,Construction,7.9
salt-lake-city-ut,1261337,6.4,95045,Education & health care,21.2,Professional & management,13.7,Retail trade,11.4,Manufacturing,9.8,"Finance, insurance & real estate",8.7
hartford-ct,1144012,-5.4,92823,Education & health care,26.5,Professional & management,11.5,Manufacturing,11.0,Retail trade,10.4,"Finance, insurance & real estate",10.0
buffalo-ny,1161385,2.6,70572,Education & health care,28.0,Retail trade,11.2,Manufacturing,10.8,Professional & management,10.2,"Arts, food & hospitality",8.4
birmingham-al,1181432,3.0,69627,Education & health care,24.1,Retail trade,11.2,Professional & management,10.1,Manufacturing,10.0,"Finance, insurance & real estate",8.3
rochester-ny,1058875,-1.5,74438,Education & health care,30.9,Professional & management,12.1,Manufacturing,11.4,Retail trade,10.8,"Arts, food & hospitality",7.4
grand-rapids-mi,1154320,9.9,80296,Education & health care,22.6,Manufacturing,20.5,Retail trade,10.8,Professional & management,9.8,"Arts, food & hospitality",7.8
tucson-az,1049947,3.0,67929,Education & health care,26.1,Professional & management,12.5,Retail trade,11.9,"Arts, food & hospitality",10.4,Manufacturing,7.2
urban-honolulu-hi,1003666,1.6,104264,Education & health care,23.4,"Arts, food & hospitality",13.1,Professional & management,10.8,Retail trade,10.6,Public administration,9.6
tulsa-ok,1026209,4.2,67823,Education & health care,21.9,Retail trade,11.6,Manufacturing,11.3,Professional & management,10.4,"Arts, food & hospitality",8.8
fresno-ca,1170942,19.7,71897,Education & health care,25.3,Retail trade,10.0,Professional & management,9.0,Agriculture & mining,8.5,"Arts, food & hospitality",8.2
worcester-ma,861664,-8.2,93561,Education & health care,28.0,Professional & management,12.3,Manufacturing,11.6,Retail trade,11.2,Construction,7.0
omaha-ne,972840,5.4,83023,Education & health care,24.3,Professional & management,12.1,Retail trade,10.3,"Finance, insurance & real estate",10.2,Manufacturing,8.2
bridgeport-ct,947528,0.3,111656,Education & health care,22.8,Professional & management,16.1,"Finance, insurance & real estate",11.7,Retail trade,10.4,Manufacturing,8.1
